timestamp,rel_time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,azimuth,pitch,roll,label,subject_id,trial,fall_label
1416792104000,0.0,2.9636424,9.193303,2.2468894,-0.093462385,-0.100792766,0.06963864,48.22937,-2.3233259,36.35087,STD,17,3,ADL
1416797153000,0.005049,2.9578185,9.192818,2.242764,-0.10445796,-0.0870483,0.064446285,48.678852,-3.0837812,36.59885,STD,17,3,ADL
1416802149000,0.010045,2.9520557,9.192338,2.238682,-0.11056661,-0.070249505,0.06658431,49.109577,-3.8028638,36.800945,STD,17,3,ADL
1416807083000,0.014979,2.9463646,9.191864,2.2346509,-0.11728613,-0.054061573,0.061391957,49.551342,-4.5175843,36.98875,STD,17,3,ADL
1416812078000,0.019974,2.940603,9.191383,2.2305696,-0.11759156,-0.040927973,0.05589417,49.998146,-5.228067,37.162514,STD,17,3,ADL
1416817076000,0.024972,2.9348378,9.190903,2.226486,-0.12522738,-0.0290161,0.050396383,50.45148,-5.9320903,37.321823,STD,17,3,ADL
1416822115000,0.030011,2.9290257,9.190419,2.222369,-0.12583824,0.01038471,0.04428773,50.90947,-6.6343894,37.459446,STD,17,3,ADL
1416827117000,0.035013,2.923256,9.189938,2.2182822,-0.13041973,0.025961773,0.03726278,51.373936,-7.330725,37.59037,STD,17,3,ADL
1416832984000,0.04088,2.9164884,9.189374,2.2134886,-0.1160644,0.030848695,0.043676864,51.83695,-8.025296,37.703995,STD,17,3,ADL
1416837084000,0.04498,2.9117591,9.18898,2.2101386,-0.118202426,0.015577064,0.036651913,52.309685,-8.713981,37.80852,STD,17,3,ADL
1416842084000,0.04998,2.9059918,9.188499,2.2060535,-0.11759156,0.016493361,0.0290161,52.780304,-9.400559,37.898144,STD,17,3,ADL
1416847109000,0.055005,2.9001956,9.188016,2.2019477,-0.10720685,0.02321288,0.01863139,53.255875,-10.08549,37.980656,STD,17,3,ADL
1416852140000,0.060036,2.8943925,9.187532,2.1978374,-0.10048734,0.027794369,0.009162978,53.734154,-10.76568,38.054012,STD,17,3,ADL
1416857151000,0.065047,2.8886125,9.187051,2.193743,-0.1001819,0.054061573,-0.0009162979,54.21341,-11.443311,38.10983,STD,17,3,ADL
1416862101000,0.069997,2.8829029,9.186575,2.1896987,-0.11209377,0.044898596,-0.0036651916,54.695198,-12.114513,38.1653,STD,17,3,ADL
1416867133000,0.075029,2.8770986,9.186091,2.1855874,-0.10170906,0.034513887,-0.010079277,55.177864,-12.787499,38.204334,STD,17,3,ADL
1416872115000,0.080011,2.871352,9.185613,2.181517,-0.119729586,0.024740042,-0.01282817,55.658993,-13.445568,38.237488,STD,17,3,ADL
1416877115000,0.085011,2.8655846,9.185132,2.1774316,-0.1142318,-0.0018325958,-0.013133603,56.14204,-14.1058855,38.26956,STD,17,3,ADL
1416882094000,0.08999,2.8598413,9.184653,2.1733634,-0.100792766,-0.003970624,0.0012217305,56.616535,-14.755726,38.29077,STD,17,3,ADL
1416887069000,0.094965,2.8541028,9.1841755,2.169299,-0.09896017,-0.014660766,-0.004886922,57.09925,-15.401857,38.311684,STD,17,3,ADL
1416892074000,0.09997,2.8483298,9.183694,2.1652095,-0.08032878,0.0067195175,-0.0033597588,57.567204,-16.0443,38.318947,STD,17,3,ADL
1416897112000,0.105008,2.8425186,9.18321,2.1610932,-0.08124508,0.013133603,0.009162978,58.03292,-16.675558,38.326183,STD,17,3,ADL
1416902095000,0.109991,2.8367708,9.182731,2.157022,-0.08032878,0.005192355,0.023518313,58.49243,-17.304152,38.32479,STD,17,3,ADL
1416907148000,0.115044,2.8309424,9.182245,2.1528933,-0.0842994,0.00580322,0.029321533,58.944046,-17.924185,38.31301,STD,17,3,ADL
1416912100000,0.119996,2.8252304,9.181769,2.1488473,-0.089186326,0.0021380284,0.0421497,59.385468,-18.53364,38.300278,STD,17,3,ADL
1416917141000,0.125037,2.8194156,9.181285,2.1447287,-0.07941248,-0.007941248,0.062308256,59.818523,-19.136303,38.28434,STD,17,3,ADL
1416922111000,0.130007,2.8136828,9.180807,2.140668,-0.07452556,-0.027794369,0.065973446,60.249844,-19.730885,38.265385,STD,17,3,ADL
1416927109000,0.135005,2.8079178,9.180326,2.1365843,-0.06566802,-0.030848695,0.074830994,60.666622,-20.316977,38.241932,STD,17,3,ADL
1416932149000,0.140045,2.8021042,9.179842,2.1324666,-0.060170226,-0.035124753,0.07819075,61.082108,-20.896994,38.21796,STD,17,3,ADL
1416937101000,0.144997,2.7963924,9.179366,2.1284206,-0.07269296,-0.005497787,0.082161374,61.483868,-21.466473,38.18188,STD,17,3,ADL
1416942137000,0.150033,2.7905834,9.178883,2.124306,-0.073303826,0.034513887,0.07544186,61.881092,-22.034266,38.13806,STD,17,3,ADL
1416947192000,0.155088,2.7847526,9.178396,2.1201756,-0.0720821,0.070554934,0.07513642,62.264442,-22.591015,38.0844,STD,17,3,ADL
1416952221000,0.160117,2.778952,9.177913,2.1160667,-0.09896017,0.093462385,0.07269296,62.63949,-23.136568,38.01844,STD,17,3,ADL
1416957147000,0.165043,2.77327,9.17744,2.112042,-0.103847094,0.111177474,0.06994407,63.0025,-23.680414,37.940823,STD,17,3,ADL
1416962100000,0.169996,2.7675567,9.176964,2.1079953,-0.118507855,0.1386664,0.05467244,63.357258,-24.212662,37.849438,STD,17,3,ADL
1416967137000,0.175033,2.7617466,9.176479,2.1038797,-0.11453723,0.14660765,0.034208454,63.707756,-24.742693,37.754078,STD,17,3,ADL
1416972384000,0.18028,2.7556944,9.175975,2.0995927,-0.10720685,0.13988814,0.016187929,64.05261,-25.266157,37.650738,STD,17,3,ADL
1416977208000,0.185104,2.75013,9.175511,2.0956514,-0.103847094,0.12186762,-0.004886922,64.39797,-25.787464,37.54187,STD,17,3,ADL
1416982090000,0.189986,2.7444987,9.175042,2.0916626,-0.115453534,0.11026118,-0.013439035,64.737595,-26.301468,37.429665,STD,17,3,ADL
1416987197000,0.195093,2.7398553,9.17467,2.0870924,-0.1142318,0.0842994,-0.023518313,65.083,-26.81646,37.319077,STD,17,3,ADL
1416992054000,0.19995,2.7537346,9.176058,2.0769143,-0.11636983,0.04795292,-0.02443461,65.42535,-27.321388,37.211365,STD,17,3,ADL
1416997178000,0.205074,2.7683766,9.177522,2.0661767,-0.10934488,0.007330383,-0.028099801,65.780495,-27.84694,37.08119,STD,17,3,ADL
1417002153000,0.210049,2.782593,9.178944,2.0557513,-0.11881329,-0.029626964,-0.033292156,66.13561,-28.362526,36.955753,STD,17,3,ADL
1417007153000,0.215049,2.7968807,9.180372,2.0452738,-0.11026118,-0.041233405,-0.03359759,66.48602,-28.87652,36.831627,STD,17,3,ADL
1417012145000,0.220041,2.8111458,9.181799,2.0348127,-0.10445796,-0.048258353,-0.030543262,66.83645,-29.381721,36.712173,STD,17,3,ADL
1417017091000,0.224987,2.8252792,9.183212,2.0244482,-0.108123146,-0.046731193,-0.016493361,67.177055,-29.878017,36.59298,STD,17,3,ADL
1417022131000,0.230027,2.8396811,9.184652,2.0138867,-0.09254608,-0.0421497,-0.010995574,67.5127,-30.37399,36.47154,STD,17,3,ADL
1417027274000,0.23517,2.8543777,9.186122,2.0031092,-0.10476339,-0.03970624,-0.00061086525,67.83593,-30.85314,36.351635,STD,17,3,ADL
1417032148000,0.240044,2.8683054,9.187514,1.9928956,-0.09132435,-0.04153884,0.009468411,68.15041,-31.333235,36.230797,STD,17,3,ADL
1417037131000,0.245027,2.8825445,9.188938,1.9824536,-0.07727446,-0.03848451,0.017715093,68.4538,-31.802738,36.10831,STD,17,3,ADL
1417042112000,0.250008,2.896778,9.190362,1.9720157,-0.06536258,-0.027488936,0.0290161,68.745186,-32.26548,35.985504,STD,17,3,ADL
1417047183000,0.255079,2.9112687,9.191811,1.9613892,-0.055588737,-0.0061086523,0.035430185,69.02553,-32.72352,35.859165,STD,17,3,ADL
1417052178000,0.260074,2.925542,9.193238,1.950922,-0.04062254,0.022296581,0.040317107,69.29206,-33.176674,35.72978,STD,17,3,ADL
1417057145000,0.265041,2.9397357,9.194657,1.9405135,-0.032986723,0.023823744,0.053450707,69.54927,-33.620956,35.603554,STD,17,3,ADL
1417062093000,0.269989,2.9538748,9.196072,1.9301447,-0.022907447,0.021685716,0.056505036,69.79516,-34.06342,35.47051,STD,17,3,ADL
1417067146000,0.275042,2.9683142,9.1975155,1.9195559,0.0033597588,0.009773844,0.06261369,70.032265,-34.501106,35.341877,STD,17,3,ADL
1417072217000,0.280113,2.9828048,9.198964,1.9089295,0.009162978,-0.013133603,0.064751714,70.2663,-34.93049,35.215347,STD,17,3,ADL
1417077099000,0.284995,2.9967554,9.200359,1.898699,0.009468411,-0.01863139,0.06627888,70.49116,-35.3566,35.0884,STD,17,3,ADL
1417082140000,0.290036,3.0111601,9.2018,1.8881354,-0.0015271631,-0.00030543262,0.06505715,70.709465,-35.77534,34.960815,STD,17,3,ADL
1417087867000,0.295763,3.0275254,9.203437,1.8761343,-0.00061086525,0.030543262,0.056199603,70.9211,-36.191475,34.830315,STD,17,3,ADL
1417092144000,0.30004,3.0397472,9.2046585,1.8671716,-0.014049901,0.060170226,0.057726767,71.11994,-36.594387,34.69826,STD,17,3,ADL
1417097225000,0.305121,3.0542665,9.206111,1.8565242,-0.040011674,0.0842994,0.0571159,71.30882,-36.991013,34.559174,STD,17,3,ADL
1417102149000,0.310045,3.068337,9.207518,1.8462057,-0.064751714,0.110872045,0.05131268,71.48432,-37.379852,34.413525,STD,17,3,ADL
1417107142000,0.315038,3.082605,9.208944,1.8357427,-0.09468412,0.13225232,0.032070424,71.652336,-37.759388,34.261948,STD,17,3,ADL
1417112085000,0.319981,3.0967298,9.210357,1.8253845,-0.09865474,0.15668693,0.021380283,71.80625,-38.13283,34.106205,STD,17,3,ADL
1417117138000,0.325034,3.1111689,9.211801,1.8147957,-0.11026118,0.15363261,0.009773844,71.96073,-38.497177,33.9485,STD,17,3,ADL
1417122228000,0.330124,3.1257138,9.213255,1.8041294,-0.10934488,0.13775012,0.0033597588,72.10789,-38.85874,33.78875,STD,17,3,ADL
1417127154000,0.33505,3.1397903,9.214663,1.7938068,-0.098043874,0.10751228,-0.004581489,72.257065,-39.217182,33.630817,STD,17,3,ADL
